domain,html_size,widget_count,widgets,ai_signal,generic_chat_hint
laura-james.com,1429087,1,Zendesk,0,1
laurageller.com,1741918,1,Kustomer,0,1
lechameau.com,1245114,1,Gorgias,0,1
leesa.com,1219772,0,,0,1
legalseafoods.com,718793,0,,0,1
leonisa.com,1359192,0,,0,1
lepantalon.com,929335,1,Gorgias,0,1
lepetitballon.com,402738,0,,0,1
lesportsac.com,324469,0,,0,1
lesraffineurs.com,641190,1,WhatsApp Button,0,1
letanneur.com,1037419,0,,0,1
letterkenny.com,5053,0,,0,1
lifestraw.com,370765,1,Gorgias,0,1
lilacst.com,834920,1,Gorgias,0,1
linksoul.com,708063,1,Gorgias,0,0
lionbrandyarn.com,449321,0,,0,1
lippyclip.com,309065,0,,0,1
liquiddeath.com,1490077,0,,0,1
liquidiv.com,326691,0,,0,1
liquorloot.com,807632,0,,0,1
littlesaints.com,566315,1,Help Scout,1,1
littlesleepies.com,1922910,2,Gorgias;Help Scout,0,1
littlewordsproject.com,1326043,1,Gorgias,0,1
livefastdieyoung.com,1961762,0,,0,1
livingproof.com,516629,0,,1,1
lola.com,230808,0,,0,0
lolas-cupcakes.com,909130,1,Gorgias,0,1
lomi.com,323014,0,,0,1
loopearplugs.com,2097152,1,Gorgias,0,1
lord.com,2485,0,,0,0
lordjones.com,33556,0,,0,1
lordsandlabradors.com,605094,0,,0,1
loungeunderwear.com,119656,0,,0,1
loverboy.co,36873,0,,0,0
lovevery.com,1575522,0,,0,1
loveyourmelon.com,2097152,0,,0,1
lskd.com,497880,1,Gorgias,0,1
lull.com,440329,0,,0,1
lulu.com,262224,0,,0,1
lumanutrition.com,466722,0,,0,1
luno.com,839331,0,,0,1
luvmehair.com,1426669,0,,0,1
luxorlinens.com,308039,1,Gorgias,0,1
lvly.io,266586,0,,0,1
lyres.com,510510,1,Gorgias,0,1
macduggal.com,785737,0,,0,1
madebymary.com,416961,0,,0,1
madrabbit.com,1700486,0,,0,1
maggylondon.com,476379,1,Gorgias,0,1
magicmind.com,303620,0,,0,1
magicspoon.com,406333,0,,0,1
magnolia.com,2097152,0,,0,1
mainelobsternow.com,1045944,1,Gorgias,0,1
makari.com,380902,0,,0,1
makerflo.com,1181744,1,Gorgias,0,1
malys.com,87245,0,,0,1
mandauefoam.com,29319,0,,0,1
manduka.com,999460,1,Gorgias,0,1
manlybands.com,556487,0,,0,1
manmade.com,10713,0,,0,1
manscaped.com,568225,0,,0,1
manucurist.com,1190708,1,Gorgias,0,1
manukora.com,463355,1,Gorgias,0,1
marcfisherfootwear.com,643342,1,Gorgias,0,1
marchhares.com,5129,0,,0,0
marcjacobs.com,299435,0,,0,1
marinelayer.com,2068911,1,Gorgias,0,1
marleylilly.com,323367,1,Zendesk,0,1
maryruthorganics.com,477844,0,,0,1
mastermindtoys.com,718491,1,Gorgias,0,1
matchabar.com,3631,0,,0,0
mattelcreations.com,488161,0,,0,1
maude.com,86560,0,,0,1
mauinuivenison.com,142073,0,,0,0
mc2saintbarth.com,777415,0,,0,0
meagherspharmacy.com,1853,0,,0,0
mebius.com,4190,0,,0,0
mecca.com,827224,0,,0,1
medik8.com,666906,0,,0,1
mejuri.com,927219,0,,0,1
memobottle.com,297047,1,Gorgias,0,1
mercihandy.com,799020,2,Gorgias;Facebook Messenger Plugin,0,1
merkur.com,341128,0,,0,0
merzbschwanen.com,1147178,0,,0,1
meshki.com,654290,0,,0,1
metabolicmeals.com,221455,0,,0,1
metagenics.com,547157,0,,0,1
meundies.com,393231,0,,0,1
michaelkors.com,202634,0,,0,1
midnighthour.com,1529404,0,,0,1
migardener.com,478431,0,,0,1
mikihouse.com,41812,0,,0,0
millieloveslily.com,923918,0,,0,1
milligram.com,523673,1,Gorgias,0,1
minikatana.com,604298,0,,0,1
ministryofsupply.com,1057938,0,,0,0
minnow.co,16940,0,,0,1
mixtiles.com,175504,0,,0,1
mizzen.com,752554,0,,0,1
modifly.com,76451,0,,0,0
mojocountryclub.com,1035356,0,,0,1
mokobara.com,438194,0,,0,1
molekule.com,607123,0,,0,1
mollygreen.com,78952,0,,0,0
momofuku.com,118022,0,,0,1
monos.com,2097152,0,,0,0
montecarlo.com,447343,0,,0,1
montedesign.com,95585,1,Gorgias,0,1
mood.com,1575603,0,,0,1
moodi.com,149962,1,Crisp,0,1
moonboon.com,574985,1,Gorgias,0,1
moonbrew.com,576956,1,Gorgias,0,1
moonjuice.com,1028089,1,Reamaze,0,1
morenutrition.com,2097152,0,,0,1
morselmunk.com,761346,0,,0,1
mosh.com,43626,0,,0,0
motelamiio.com,2097152,0,,0,1
mountaingirlclothing.com,1187496,0,,0,1
moxielash.com,432015,0,,0,1
mpix.com,638222,0,,0,1
mrdiy.com,126554,0,,0,1
mrroses.com,1510471,0,,0,1
msread.com,27278,0,,0,0
muddybites.com,321651,1,Gorgias,0,1
mudwtr.com,599622,1,Gorgias,0,1
mugsy.com,2097152,1,Gorgias,0,1
murad.com,671178,1,Reamaze,0,1
mustangsurvival.com,464975,1,Zendesk,0,1
mustardmade.com,1144656,1,Gorgias,0,1
mycommunitymade.com,460960,0,,0,1
myfitfoods.com,177385,0,,0,1
mygirlfriendsquiltshoppe.com,749536,0,,0,1
myolivea.com,327654,0,,0,1
mzwallace.com,363536,1,Gorgias,0,1
naali.com,10385,0,,0,0
nakedcashmere.com,313105,2,Gorgias;Zendesk,0,1
namuk.com,1079313,0,,0,0
naniswimwear.com,941299,0,,0,1
nanoleaf.com,20575,0,,0,0
